rubygem_id,gem_downloads
16475,689392402
16476,134943
16477,26582
16478,621071
16479,5903
16480,106349
16481,7709
16482,6024
16483,1294873
16484,541
16485,5909
16486,1892864
16487,49684
16488,14853
16489,5783
16490,6207
16491,11253
16492,88347
16493,6087
16494,6327
16495,23339
16496,185155
16497,75062
16498,6027
16499,14819
16500,10143
16501,212237
16502,6153
16503,6559
16504,14254
16505,14255
16506,136172
16507,44507350
16508,353354
16509,31022
16510,8379
16512,24739
16513,26561
16514,53519
16515,11342
16516,2236171
16517,23656
16518,75096
16519,25193
16520,33987
16521,5991
16522,40089
16523,6055
16524,73982
16525,32157
16526,26084
16527,14841
16528,398655
16529,12743
16530,17740
16531,135123
16532,109833
16533,50675
16534,815729
16535,5917
16536,5793
16537,11272
16538,35312
16539,85865
16540,64599
16541,10159
16542,12893955
16543,127485
16544,15144
16545,10682
16546,116478
16547,3523619
16548,7197
16549,555135
16550,58900
16551,5827
16552,430812
16553,10369
16554,5875
16556,30511
16557,48576
16558,5765
16559,10593
16560,17408
16561,155734
16562,5865
16563,5931
16564,30594
16565,18757
16566,130933
16567,1538121
16568,64302
16569,5953
16570,5827
16571,32001
16572,128841
16573,5789
16574,73493
16575,5787
16576,397566
16577,6145
16578,21328181
16579,37633
16580,11238
16581,16459
16583,8687
16584,6163
16585,22740
16586,10414
16587,14551
16588,4535150
16589,43659
16590,401634096
16591,208843
16592,55122
16593,10340
16594,127162
16595,36707
16596,10258
16597,5925
16598,8067184
16599,4749309
16600,4759515
16601,50910020
16602,5905
16603,6281
16604,5915
16605,6185
16606,19155
16607,23977
16608,15204
16609,26204
16610,55188
16611,110302
16612,78065
16613,85542
16614,15959
16615,8103
16616,39690
16617,11716
16618,10218
16619,13390
16620,10180
16621,11040
16622,14103
16623,28134
16624,50236
16625,111510
16626,74245
16627,32407
16628,5889
16629,5763
16630,5899
16631,5723
16632,37238
16633,10265
16634,5697
16635,6069
16636,15209
16637,9423
16638,27822
16639,10351
16640,42342
16641,10298
16642,5785
16643,54243
16644,237197
16645,23287
16646,46787
16647,33002
16648,190020
16649,28616
16650,23853
16651,682791
16652,5795
16653,10312
16654,14491
16655,10200
16656,18923
16657,32312
16658,5909
16659,23481
16660,5919575
16661,15001
16662,56053
16663,10158
16664,6087
16665,1124471
16666,58778
16668,42187
16669,21637
16670,48291
16671,6769
16672,44241
16673,109947
16674,5977
16675,36466
16676,126619
16677,81908
16678,13000
16679,278597
16680,116411
16681,5911
16682,169206
16683,54992
16684,12373
16685,5941
16686,10498
16687,18708
16688,58544
16689,9375
16690,5857
16691,15403
16692,590899
16693,36210
16694,32094
16695,10078
16696,5896095
16697,18821
16698,15009
16699,21974708
16700,57252
16701,32904
16702,7943
16703,6797
16704,10258
16705,10194
16706,5755
16707,42817
16708,14717
16709,18678
16710,62067
16711,19229
16712,32404
16713,7437
16714,34391
16715,24097
16716,6249357
16717,2577333
16718,29929509
16719,83180
16720,148561
16721,11174
16723,37479
16724,126221
16725,40923
16726,28791
16727,16542
16728,60513
16729,33405
16730,19909
16731,82743
16732,6865118
16733,4265226
16734,41074
16735,52314
16736,105580
16737,47523
16738,28737
16739,33574
16740,4229862
16741,10312
16742,14505
16743,26325
16744,15320
16747,17652
16748,5723
16749,38903
16751,27981
16752,352265
16753,5797
16754,13420
16755,11074
16756,18725
16757,24870
16758,66261
16759,10388
16760,5765
16761,10656
16762,32742
16763,253432
16764,155303
16765,269858
16766,5797
16767,5837
16768,14911
16769,6085
16770,10236
16771,190901
16772,10210
16773,32141
16774,5783
16775,6341
16776,10322
16777,1766127
16778,66679
16779,10432
16780,10154
16781,492663
16782,5353674
16783,1008607
